transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-09-18,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Common Stock,D,2929.0,1.2667
2024-09-17,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,4048271.0,36.2611
2024-09-17,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,4253498.0,0.0
2024-09-17,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Employee Stock Option (Right to buy),D,4253498.0,0.0
2024-09-17,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,80000.0,0.0502
2024-09-17,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,4253498.0,0.0
2024-09-17,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Common Stock,D,6778.0,1.2428
2024-09-17,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,205227.0,37.04
2024-09-17,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,4253498.0,
2024-09-16,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,4500000.0,0.0
2024-09-16,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,4500000.0,36.0697
2024-09-16,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,4500000.0,
2024-09-16,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,22812.0,0.0581
2024-09-16,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,700.0,36.8214
2024-09-16,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,5300.0,36.2899
2024-09-16,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,4500000.0,0.0
2024-09-16,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Common Stock,D,6673.0,1.3456
2024-09-16,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Employee Stock Option (Right to buy),D,4500000.0,0.0
2024-09-13,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,246502.0,0.0
2024-09-13,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,246502.0,
2024-09-13,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,246502.0,0.0
2024-09-13,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,57800.0,0.058
2024-09-13,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Common Stock,D,5131.0,1.4929
2024-09-13,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,246502.0,36.0
2024-09-13,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Employee Stock Option (Right to buy),D,246502.0,0.0
2024-09-12,PLTR,"TAYLOR, RYAN D.",See Remarks,Employee Stock Option (Right to buy),D,155539.0,0.0
2024-09-12,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,A,155539.0,4.72
2024-09-12,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,22681.0,0.056
2024-09-12,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Common Stock,D,8300.0,1.4965
2024-09-12,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,155539.0,35.0175
2024-09-11,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,7917.0,0.0606
2024-09-10,PLTR,"TAYLOR, RYAN D.",See Remarks,Employee Stock Option (Right to buy),D,4461.0,0.0
2024-09-10,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,4461.0,35.0114
2024-09-10,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,A,4461.0,4.72
2024-09-10,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,121700.0,0.0576
2024-09-09,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,2271.0,0.0611
2024-09-09,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,6050.0,33.19
2024-09-09,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,A,20000.0,4.72
2024-09-09,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,20000.0,33.7427
2024-09-09,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Employee Stock Option (Right to buy),D,20000.0,0.0
2024-09-06,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,87833.0,0.0577
2024-09-05,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,A,149205.0,0.0
2024-09-05,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,A,149205.0,0.0
2024-09-05,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,40000.0,0.058
2024-09-04,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,43211.0,0.0684
2024-09-03,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,D,2004.0,31.382
2024-09-03,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,156629.0,0.0652
2024-09-03,PLTR,"MOORE, ALEXANDER D.",Director,Class A Common Stock,D,17996.0,30.8391
2024-08-30,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,140125.0,0.0626
2024-08-29,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,14016.0,30.67
2024-08-29,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,49360.0,0.0581
2024-08-28,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,1033.0,0.05
2024-08-27,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,34889.0,0.0576
2024-08-26,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,10513.0,0.0551
2024-08-23,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,100000.0,0.0635
2024-08-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,575072.0,0.0
2024-08-22,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,50000.0,32.3466
2024-08-22,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,A,50000.0,
2024-08-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,535097.0,32.1682
2024-08-22,PLTR,"PALANTIR, TECHNOLOGIES INC.",10% Owner,Class A Common Stock,D,100000.0,0.0583
2024-08-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,39975.0,32.9369
2024-08-22,PLTR,"SANKAR, SHYAM",See Remarks,Class B Common Stock,D,50000.0,0.0
