Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,162.95,180.68,162.75,179.53,179.53,117565943
2024-11-29,168.26,185.05,157.54,162.08,162.08,362675036
2024-10-31,172.16,186.42,165.8,169.77,169.77,440193182
2024-09-30,160.38,180.25,134.9,172.5,172.5,693008438
2024-08-30,157.5,172.42,128.5,162.82,162.3062,529951175
2024-07-31,1608.2,1770.98,143.35,160.68,160.1729,421784432
2024-06-28,1352.7,1851.62,1302.53,1605.53,160.0463,100706263
2024-05-31,1278.33,1445.4,1223.31,1328.55,132.0005,52954763
2024-04-30,1325.68,1403.98,1197.56,1300.27,129.1907,52380093
2024-03-28,1325.93,1438.17,1204.02,1325.41,131.6885,82116400
2024-02-29,1187.35,1319.62,1179.11,1300.49,128.6831,47983283
2024-01-31,1092.12,1284.5499,1041.51,1180.0,116.7606,58221892
2023-12-29,922.46,1151.82,903.1,1116.25,110.4526,92471359
2023-11-30,842.0,999.87,835.57,925.73,91.1806,60598131
2023-10-31,829.06,925.91,808.91,841.37,82.8715,46223250
2023-09-29,901.87,901.87,795.09,830.58,81.8088,48036085
2023-08-31,898.98,923.67,812.0,922.89,90.4002,50364266
2023-07-31,868.62,923.18,844.33,898.65,88.0259,48919999
2023-06-30,800.62,889.95,776.38,867.43,84.9677,73742147
2023-05-31,626.5,921.7799,601.29,807.96,78.7153,70272948
2023-04-28,639.0,644.235,603.23,626.5,61.0366,31290675
2023-03-31,594.0,648.4999,586.13,641.54,62.5019,60280066
2023-02-28,583.57,617.01,572.1,594.29,57.4833,37615315
2023-01-31,565.0,601.675,549.99,585.01,56.5857,44559905
2022-12-30,551.03,585.65,516.05,559.13,54.0824,53360264
2022-11-30,475.795,551.66,441.36,551.03,52.8565,46078358
2022-10-31,449.24,489.7,415.0682,470.12,45.0954,48153340
2022-09-30,491.47,531.26,443.635,444.01,42.5908,57348125
2022-08-31,531.43,560.56,496.54,499.11,47.4725,39870067
2022-07-29,479.41,537.83,463.91,535.48,50.9318,39440815
2022-06-30,587.58,590.94,480.71,485.81,46.2075,46829524
2022-05-31,557.14,609.0,512.44,580.13,54.7332,60933585
2022-04-29,631.69,636.72,553.395,554.39,52.3047,42488523
2022-03-31,584.79,645.31,563.61,629.68,59.4081,54974241
2022-02-28,585.87,614.64,549.02,587.44,55.0475,45150977
2022-01-31,666.317,672.1862,513.4,585.88,54.9014,62674774
2021-12-31,563.48,677.76,544.0,665.41,62.3539,60258010
2021-11-30,530.336,577.21,524.93,553.68,51.5569,34352805
2021-10-29,487.85,536.07,472.78,531.67,49.5074,34166302
2021-09-30,496.27,510.7,484.4801,484.93,45.1551,37313757
2021-08-31,489.05,507.85,462.66,497.21,45.9616,26436160
2021-07-30,477.84,494.02,455.71,485.4,44.8699,32332686
2021-06-30,475.44,478.59,458.44,476.84,44.0786,37593216
2021-05-28,459.75,474.62,419.14,472.33,43.326,35504377
2021-04-30,472.07,489.635,449.0,456.2,41.8464,40559988
2021-03-31,479.7,490.8599,419.26,463.66,42.5307,72481021
2021-02-26,455.85,495.14,453.59,469.87,42.7758,31612577
2021-01-29,439.33,470.0,420.54,450.5,41.0124,32133476
2020-12-31,403.46,438.5,398.1,437.85,39.8608,40139046
2020-11-30,355.04,402.16,346.66,401.58,36.2585,30097725
2020-10-30,368.98,387.8,344.42,349.63,31.5679,33740890
2020-09-30,350.0,378.96,343.48,364.32,32.8943,51899593
2020-08-31,318.0,350.58,317.28,347.15,31.0571,31023569
2020-07-31,315.11,324.33,304.18,316.75,28.3374,37872897
2020-06-30,290.42,328.11,287.37,315.61,28.2354,65234712
2020-05-29,266.0,292.0,254.75,291.27,25.7811,41960729
2020-04-30,227.99,276.99,219.68,271.62,24.0419,62006048
2020-03-31,276.76,288.48,155.67,237.1,20.9864,119531134
2020-02-28,305.63,325.7,262.74,272.62,23.7292,45884003
2020-01-31,319.32,331.58,298.8,305.16,26.5615,58302799
2019-12-31,317.72,331.2,303.13,316.02,27.5068,51847995
2019-11-29,292.99,325.67,292.09,316.21,27.2457,40861789
2019-10-31,278.27,294.08,267.22,292.85,25.2329,42758739
2019-09-30,280.0,302.33,270.0,276.07,23.7871,52187057
2019-08-30,289.13,297.82,262.5,282.64,24.1283,45422110
2019-07-31,301.68,305.75,272.41,289.99,24.7557,52041498
2019-06-28,252.55,291.75,251.2,287.86,24.5739,73711281
2019-05-31,320.5,323.2,250.09,251.64,21.2761,64215569
2019-04-30,303.11,322.45,299.75,318.4,26.9206,40855951
2019-03-29,277.73,303.3,259.2,300.71,25.425,72694101
2019-02-28,269.15,286.63,264.89,275.36,23.0715,41510343
2019-01-31,248.85,273.75,230.33,268.25,22.4758,74939546
2018-12-31,245.2,261.59,217.61,254.28,21.3053,97816619
2018-11-30,225.16,242.62,213.71,237.41,19.6829,64531353
2018-10-31,247.88,252.14,208.23,223.49,18.5289,74095176
2018-09-28,218.59,250.1,213.92,246.73,20.4556,96345586
2018-08-31,223.26,223.94,202.77,219.03,18.0275,70856922
2018-07-31,240.09,251.8,197.46,221.77,18.253,174204440
2018-06-29,254.37,271.81,242.27,242.64,19.9707,76084243
2018-05-31,230.85,255.29,221.98,252.07,20.6087,71235166
2018-04-30,233.95,252.85,225.44,229.42,18.7569,75688809
2018-03-29,245.86,273.85,234.76,235.65,19.2662,100903637
2018-02-28,241.72,255.74,224.9,246.46,20.0077,70848910
2018-01-31,259.77,274.26,237.01,248.03,20.1351,74296557
2017-12-29,275.21,275.7,253.39,256.9,20.8552,65026538
2017-11-30,264.24,285.68,248.87,277.94,22.4149,74581116
2017-10-31,245.31,266.7,237.51,263.91,21.2834,52551023
2017-09-29,252.33,255.34,231.53,242.54,19.56,53110903
2017-08-31,248.23,259.36,238.7,252.07,20.2459,59502055
2017-07-31,234.51,258.49,227.5,246.66,19.8114,40963842
2017-06-30,241.6,256.78,230.5701,233.05,18.7182,81439377
2017-05-31,222.09,242.89,219.91,239.48,19.1526,49731660
2017-04-28,219.0,224.09,208.44,220.81,17.6594,36239630
2017-03-31,213.07,227.75,210.56,218.96,17.5115,66287633
2017-02-28,202.25,215.955,200.21,210.93,16.7923,45313269
2017-01-31,178.29,205.79,173.31,199.5,15.8823,66354811
2016-12-30,170.01,183.99,160.62,176.77,14.0728,67190601
