fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2009-01-31,2009-02-10,-0.004,-0.002,-0.002,-100,pre-market
2008-10-31,2008-11-06,0.005,0.003,0.002,66.6667,pre-market
2008-07-31,2008-08-12,0.003,0.003,0,0,pre-market
2008-04-30,2008-05-08,0.009,0.01,-0.001,-10,pre-market
2008-01-31,2008-02-13,0.012,0.012,0,0,pre-market
2007-10-31,2007-11-08,0.011,0.009,0.002,22.2222,pre-market
2007-07-31,2007-08-09,0.009,0.007,0.002,28.5714,pre-market
2007-04-30,2007-05-10,0.007,0.006,0.001,16.6667,pre-market
2007-01-31,2007-02-13,0.009,0.007,0.002,28.5714,pre-market
2006-10-31,2006-11-09,0.007,0.006,0.001,16.6667,pre-market
2006-07-31,2006-08-10,0.0038,None,None,None,pre-market
2006-04-30,2006-05-11,0.005,0.005,0,0,pre-market
2006-01-31,2006-02-16,0.004,0.004,0,0,pre-market
2005-10-31,2005-11-09,0.004,0.003,0.001,33.3333,pre-market
2005-07-31,2005-08-11,0.003,0.003,0,0,pre-market
2005-04-30,2005-05-12,0.006,0.002,0.004,200,pre-market
2005-01-31,2005-02-17,0.003,0.002,0.001,50,pre-market
2004-10-31,2004-11-04,0.002,0.001,0.001,100,pre-market
2004-07-31,2004-08-05,0.002,0.001,0.001,100,pre-market
2004-04-30,2004-05-06,0.002,0.001,0.001,100,pre-market
2004-01-31,2004-02-12,0.003,0.001,0.002,200,pre-market
2003-10-31,2003-11-06,0.001,0.001,0,0,pre-market
2003-07-31,2003-08-07,0.001,0.001,0,0,pre-market
2003-04-30,2003-05-08,0.001,0.001,0,0,pre-market
2003-01-31,2003-02-13,0.001,0.002,-0.001,-50,pre-market
2002-10-31,2002-11-07,0.001,0.001,0,0,pre-market
2002-07-31,2002-08-15,0.001,0.001,0,0,pre-market
2002-04-30,2002-05-22,0.004,0.004,0,0,pre-market
2002-01-31,2002-02-14,0.004,0.003,0.001,33.3333,pre-market
2001-10-31,2001-11-08,0.002,0.002,0,0,pre-market
2001-07-31,2001-08-14,0.002,0.002,0,0,pre-market
2001-04-30,2001-05-22,0.002,0.002,0,0,pre-market
2001-01-31,2001-02-15,0.001,0.002,-0.001,-50,pre-market
2000-10-31,2000-11-09,0.001,0.001,0,0,pre-market
2000-07-31,2000-08-21,0.001,0.001,0,0,pre-market
2000-04-30,2000-05-16,0.001,0.001,0,0,pre-market
2000-01-31,2000-02-15,0.001,0.001,0,0,pre-market
1999-10-31,1999-11-18,0.001,0.002,-0.001,-50,pre-market
1999-07-31,1999-08-18,0.002,0.002,0,0,pre-market
1999-04-30,1999-05-18,0.002,0.001,0.001,100,pre-market
