Date,Open,High,Low,Close,Volume
2024-12-06 19:55:00,622.8,623.71,622.4325,623.05,1498
2024-12-06 19:50:00,622.945,623.5,622.4,622.8,1415
2024-12-06 19:45:00,623.49,623.49,622.945,622.945,177
2024-12-06 19:40:00,623.275,623.72,622.83,622.83,513
2024-12-06 19:35:00,623.03,623.74,622.83,623.01,336
2024-12-06 19:30:00,623.29,623.74,622.83,623.44,142
2024-12-06 19:25:00,623.71,623.71,623.01,623.43,288
2024-12-06 19:20:00,623.71,623.71,622.83,622.83,419
2024-12-06 19:15:00,623.09,623.71,623.04,623.64,1131
2024-12-06 19:10:00,623.25,623.25,622.83,623.04,231
2024-12-06 19:05:00,622.825,623.25,622.4,623.05,1080
2024-12-06 19:00:00,622.825,623.25,622.4,623.06,231
2024-12-06 18:55:00,622.825,623.25,622.825,622.825,167
2024-12-06 18:50:00,622.825,623.25,622.4,623.01,272
2024-12-06 18:45:00,623.21,623.25,622.4,622.825,274
2024-12-06 18:40:00,623.25,623.25,622.75,622.75,393
2024-12-06 18:35:00,622.815,623.25,622.4,623.0,149
2024-12-06 18:30:00,622.47,623.25,622.38,623.25,998
2024-12-06 18:25:00,622.89,623.0,622.42,622.47,793
2024-12-06 18:20:00,623.29,623.3,622.8,622.98,314
2024-12-06 18:15:00,623.06,623.3,622.82,623.06,319
2024-12-06 18:10:00,623.15,623.3,622.81,623.0,661
2024-12-06 18:05:00,623.3,623.3,623.0,623.15,205
2024-12-06 18:00:00,623.19,623.75,623.0,623.3,1051
2024-12-06 17:55:00,623.13,623.76,623.01,623.19,237
2024-12-06 17:50:00,623.275,623.74,622.81,623.0,540
2024-12-06 17:45:00,622.81,623.77,622.81,623.275,638
2024-12-06 17:40:00,623.64,623.76,622.81,623.22,842
2024-12-06 17:35:00,623.215,623.64,622.8,622.8,148
2024-12-06 17:30:00,623.64,623.73,622.38,623.05,767
2024-12-06 17:25:00,623.63,623.73,623.35,623.35,1478
2024-12-06 17:20:00,623.405,623.64,623.36,623.3601,858
2024-12-06 17:15:00,623.4,623.76,623.36,623.43,1600
2024-12-06 17:10:00,623.57,623.76,623.4,623.58,1815
2024-12-06 17:05:00,623.42,640.3011,623.35,623.56,8725
2024-12-06 17:00:00,623.25,634.0788,623.0125,623.492,526
2024-12-06 16:55:00,623.5,623.5,622.798,623.25,511
2024-12-06 16:50:00,622.7,623.55,622.6,623.14,1914
2024-12-06 16:45:00,622.61,623.2207,622.0,623.2207,1014
2024-12-06 16:40:00,623.11,623.25,622.6,622.6,1690
2024-12-06 16:35:00,623.04,623.2,623.0,623.15,1005
2024-12-06 16:30:00,623.16,623.77,622.9,623.03,4604
2024-12-06 16:25:00,623.12,623.77,623.0,623.25,8076
2024-12-06 16:20:00,623.77,623.77,622.78,623.02,12599
2024-12-06 16:15:00,623.77,623.77,622.78,623.0,2092
2024-12-06 16:10:00,623.52,623.75,623.3,623.495,3082
2024-12-06 16:05:00,623.77,623.97,623.51,623.5201,2859
2024-12-06 16:00:00,623.65,624.8,622.78,623.755,3747137
